TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,TEAM_LOGO_URL
1610612760,Oklahoma City Thunder,82,64,18,0.78,3971.0,3534,7307,0.484,1135,3111,0.365,1557,1905,0.817,784,2834,3618,2113,1031.0,796,449,358,1555,1670,9760,914.0,https://cdn.nba.com/logos/nba/1610612760/global/L/logo.svg
1610612753,Orlando Magic,82,45,37,0.549,3966.0,3363,7244,0.464,961,2799,0.343,1804,2251,0.801,898,2659,3557,2177,1162.0,697,387,441,1719,1792,9491,52.0,https://cdn.nba.com/logos/nba/1610612753/global/L/logo.svg
1610612755,Philadelphia 76ers,82,45,37,0.549,3975.998333,3422,7404,0.462,1011,2896,0.349,1647,2035,0.809,967,2611,3578,2017,1117.0,750,464,420,1667,1634,9502,-15.0,https://cdn.nba.com/logos/nba/1610612755/global/L/logo.svg
1610612756,Phoenix Suns,82,45,37,0.549,3951.0,3362,7389,0.455,1210,3348,0.361,1298,1663,0.781,1064,2471,3535,2021,1188.0,781,347,366,1691,1547,9232,120.0,https://cdn.nba.com/logos/nba/1610612756/global/L/logo.svg
1610612757,Portland Trail Blazers,82,42,40,0.512,3951.0,3350,7389,0.453,1186,3462,0.343,1583,2069,0.765,1157,2614,3771,2062,1417.0,677,448,469,1634,1804,9469,-24.0,https://cdn.nba.com/logos/nba/1610612757/global/L/logo.svg
1610612758,Sacramento Kings,82,22,60,0.268,3951.0,3408,7299,0.467,843,2476,0.34,1443,1870,0.772,943,2523,3466,2095,1175.0,658,372,386,1614,1502,9102,-820.0,https://cdn.nba.com/logos/nba/1610612758/global/L/logo.svg
1610612759,San Antonio Spurs,82,62,20,0.756,3946.0,3562,7371,0.483,1116,3108,0.359,1586,2016,0.787,935,2921,3856,2302,1103.0,617,447,374,1546,1659,9826,681.0,https://cdn.nba.com/logos/nba/1610612759/global/L/logo.svg
1610612761,Toronto Raptors,82,46,36,0.561,3955.983333,3495,7250,0.482,932,2633,0.354,1478,1922,0.769,895,2557,3452,2417,1121.0,722,395,411,1710,1622,9400,232.0,https://cdn.nba.com/logos/nba/1610612761/global/L/logo.svg
1610612762,Utah Jazz,82,22,60,0.268,3966.0,3489,7469,0.467,1036,3006,0.345,1628,2071,0.786,984,2609,3593,2429,1272.0,729,309,477,1733,1668,9642,-691.0,https://cdn.nba.com/logos/nba/1610612762/global/L/logo.svg
1610612764,Washington Wizards,82,17,65,0.207,3950.983333,3428,7409,0.463,1070,2983,0.359,1332,1738,0.766,900,2536,3436,2054,1284.0,655,452,445,1750,1465,9258,-982.0,https://cdn.nba.com/logos/nba/1610612764/global/L/logo.svg
