PLAYER_ID,PLAYER_NAME,COUNTRY,PLAYER_HEIGHT,PLAYER_WEIGHT,COLLEGE,DRAFT_YEAR,DRAFT_NUMBER,POSITION
1629638,Nickeil Alexander-Walker,Canada,6' 5'',205.0,Virginia Tech,2019,17,Guard
201587,Nicolas Batum,France,6' 7'',230.0,,2008,25,Guard-Forward
1628502,Nigel Hayes-Davis,USA,6' 7'',254.0,Wisconsin,Undrafted,Undrafted,Forward
203999,Nikola Jokić,Serbia,6' 11'',284.0,,2014,41,Center
1631107,Nikola Jović,Serbia,6' 10'',205.0,,2022,27,Forward
1642260,Nikola Topić,Serbia,6' 6'',200.0,,2024,12,Guard
202696,Nikola Vučević,Montenegro,6' 9'',265.0,Southern California,2011,16,Center
1642363,Nique Clifford,USA,6' 5'',175.0,Colorado State,2025,24,Guard
1642855,Noa Essengue,France,6' 8'',194.0,,2025,12,Forward
1641730,Noah Clowney,USA,6' 10'',210.0,Alabama,2023,21,Forward-Center
1642869,Noah Penda,France,6' 7'',215.0,,2025,32,Guard-Forward
1642849,Nolan Traore,France,6' 3'',185.0,,2025,19,Guard
1641807,Norchad Omier,Nicaragua,6' 7'',248.0,Miami,Undrafted,Undrafted,Forward
1626181,Norman Powell,USA,6' 3'',215.0,UCLA,2015,46,Guard
1628384,OG Anunoby,United Kingdom,6' 7'',240.0,Indiana,2017,23,Forward-Guard
1630167,Obi Toppin,USA,6' 9'',220.0,Dayton,2020,8,Forward
1630534,Ochai Agbaji,USA,6' 5'',215.0,Kansas,2022,14,Guard
1630846,Olivier Sarr,France,6' 10'',240.0,Kentucky,Undrafted,Undrafted,Center
1641765,Olivier-Maxence Prosper,Canada,6' 7'',230.0,Marquette,2023,24,Forward
1630209,Omer Yurtseven,Turkey,6' 11'',275.0,Georgetown,Undrafted,Undrafted,Center
1630168,Onyeka Okongwu,USA,6' 10'',240.0,Southern California,2020,6,Forward-Center
1631115,Orlando Robinson,USA,6' 10'',235.0,Fresno State,Undrafted,Undrafted,Center
1631131,Oscar Tshiebwe,DRC,6' 8'',255.0,Kentucky,Undrafted,Undrafted,Forward-Center
1642345,Oso Ighodaro,USA,6' 11'',235.0,Marquette,2024,40,Forward
1631172,Ousmane Dieng,France,6' 9'',185.0,,2022,11,Forward
1629023,P.J. Washington,USA,6' 7'',230.0,Kentucky,2019,12,Forward
1641790,PJ Hall,USA,6' 8'',245.0,Clemson,Undrafted,Undrafted,Center
1642359,Pacôme Dadiet,France,6' 9'',210.0,,2024,25,Forward
1631094,Paolo Banchero,USA,6' 10'',250.0,Duke,2022,1,Forward
1627783,Pascal Siakam,Cameroon,6' 8'',245.0,New Mexico State,2016,27,Forward
1626192,Pat Connaughton,USA,6' 5'',209.0,Notre Dame,2015,41,Guard
1630311,Pat Spencer,USA,6' 2'',205.0,Northwestern,Undrafted,Undrafted,Guard
1631116,Patrick Baldwin Jr.,USA,7' 0'',220.0,Wisconsin-Milwaukee,2022,28,Forward
1630172,Patrick Williams,USA,6' 6'',235.0,Florida State,2020,4,Forward
202331,Paul George,USA,6' 8'',230.0,Fresno State,2010,10,Forward
1630194,Paul Reed,USA,6' 9'',210.0,DePaul,2020,58,Forward
1630202,Payton Pritchard,USA,6' 1'',195.0,Oregon,2020,26,Guard
1642362,Payton Sandfort,USA,6' 7'',215.0,Iowa,Undrafted,Undrafted,Forward
1641796,Pelle Larsson,Sweden,6' 5'',215.0,Arizona,2024,44,Guard
1631250,Pete Nance,USA,6' 9'',225.0,Northwestern,Undrafted,Undrafted,Forward
1631212,Peyton Watson,USA,6' 8'',200.0,UCLA,2022,30,Guard
1630173,Precious Achiuwa,Nigeria,6' 8'',243.0,Memphis,2020,20,Forward
1629656,Quentin Grimes,USA,6' 5'',207.0,Houston,2021,25,Guard
1631245,Quenton Jackson,USA,6' 4'',173.0,Texas A&M,Undrafted,Undrafted,Guard
1642366,Quinten Post,Netherlands,7' 0'',238.0,Boston College,2024,52,Center
1629628,RJ Barrett,Canada,6' 6'',214.0,Duke,2019,3,Forward-Guard
1642853,Rasheer Fleming,USA,6' 9'',240.0,St. Joseph's (PA),2025,31,Forward
1642484,RayJ Dennis,USA,6' 1'',180.0,Baylor,Undrafted,Undrafted,Guard
1641712,Rayan Rupert,France,6' 7'',205.0,,2023,43,Guard-Forward
1642263,Reed Sheppard,USA,6' 2'',185.0,Kentucky,2024,3,Guard
1642434,Riley Minix,USA,6' 7'',230.0,Morehead State,Undrafted,Undrafted,Forward
1642265,Rob Dillingham,USA,6' 2'',175.0,Kentucky,2024,8,Guard
1629057,Robert Williams III,USA,6' 9'',249.0,Texas A&M,2018,27,Center-Forward
1642911,Rocco Zikarsky,Australia,7' 3'',227.0,,2025,45,Center
1631199,Ron Harper Jr.,USA,6' 5'',233.0,Rutgers,Undrafted,Undrafted,Guard-Forward
1641842,Ronald Holland II,USA,6' 8'',206.0,,2024,5,Forward
1626220,Royce O'Neale,USA,6' 6'',226.0,Baylor,Undrafted,Undrafted,Forward
203497,Rudy Gobert,France,7' 1'',258.0,,2013,27,Center
1629060,Rui Hachimura,Japan,6' 8'',230.0,Gonzaga,2019,9,Forward
201566,Russell Westbrook,USA,6' 4'',200.0,UCLA,2008,4,Guard
1642346,Ryan Dunn,USA,6' 7'',216.0,Virginia,2024,28,Forward
1641750,Ryan Kalkbrenner,USA,7' 1'',256.0,Creighton,2025,34,Center
1642948,Ryan Nembhard,Canada,5' 11'',180.0,Gonzaga,Undrafted,Undrafted,Guard
1631157,Ryan Rollins,USA,6' 3'',180.0,Toledo,2022,44,Guard
1630180,Saddiq Bey,USA,6' 8'',215.0,Villanova,2020,19,Guard-Forward
1630573,Sam Hauser,USA,6' 7'',217.0,Virginia,Undrafted,Undrafted,Forward
1630241,Sam Merrill,USA,6' 4'',205.0,Utah State,2020,60,Guard
1630572,Sandro Mamukelashvili,Georgia,6' 9'',240.0,Seton Hall,2021,54,Forward-Center
1630583,Santi Aldama,Spain,7' 0'',215.0,Loyola-Maryland,2021,30,Forward-Center
1630703,Scoot Henderson,USA,6' 3'',207.0,,2023,3,Guard
1630567,Scottie Barnes,USA,6' 8'',237.0,Florida State,2021,4,Forward-Guard
1630590,Scotty Pippen Jr.,USA,6' 2'',170.0,Vanderbilt,Undrafted,Undrafted,Guard
1642951,Sean Pedulla,USA,6' 1'',195.0,Mississippi,Undrafted,Undrafted,Guard
203552,Seth Curry,USA,6' 1'',185.0,Duke,Undrafted,Undrafted,Guard
1631101,Shaedon Sharpe,Canada,6' 5'',210.0,Kentucky,2022,7,Guard
1628983,Shai Gilgeous-Alexander,Canada,6' 6'',195.0,Kentucky,2018,11,Guard
1630536,Sharife Cooper,USA,6' 0'',176.0,Auburn,2021,48,Guard
1631321,Sidy Cissoko,France,6' 6'',220.0,,2023,44,Guard
1631323,Simone Fontecchio,Italy,6' 7'',209.0,,Undrafted,Undrafted,Forward
1642883,Sion James,USA,6' 5'',220.0,Duke,2025,33,Guard
1627746,Skal Labissiere,Haiti,6' 10'',235.0,Kentucky,2016,28,Forward-Center
1642461,Spencer Jones,USA,6' 7'',225.0,Stanford,Undrafted,Undrafted,Forward
1630649,Stanley Umude,USA,6' 6'',210.0,Arkansas,Undrafted,Undrafted,Guard
201939,Stephen Curry,USA,6' 2'',185.0,Davidson,2009,7,Guard
1642264,Stephon Castle,USA,6' 6'',215.0,Connecticut,2024,4,Guard
203500,Steven Adams,New Zealand,6' 11'',265.0,Pittsburgh,2013,12,Center
1629004,Svi Mykhailiuk,Ukraine,6' 7'',205.0,Kansas,2018,47,Guard-Forward
204456,T.J. McConnell,USA,6' 1'',190.0,Arizona,2015,Undrafted,Guard
1643007,Taelon Peter,USA,6' 3'',185.0,Liberty,2025,54,Guard
201959,Taj Gibson,USA,6' 9'',232.0,Southern California,2009,26,Forward
1631106,Tari Eason,USA,6' 8'',215.0,Louisiana State,2022,17,Forward
1627752,Taurean Prince,USA,6' 6'',218.0,Baylor,2016,12,Forward
1641707,Taylor Hendricks,USA,6' 9'',215.0,Central Florida,2023,9,Forward
1629611,Terance Mann,USA,6' 6'',215.0,Florida State,2019,48,Guard-Forward
1630545,Terrence Shannon Jr.,USA,6' 6'',215.0,Illinois,2024,27,Guard-Forward
203648,Thanasis Antetokounmpo,Greece,6' 7'',219.0,,2014,51,Forward
1628418,Thomas Bryant,USA,6' 9'',248.0,Indiana,2017,42,Center-Forward
1642275,Tidjane Salaün,France,6' 10'',207.0,,2024,6,Forward
203501,Tim Hardaway Jr.,USA,6' 5'',205.0,Michigan,2013,24,Guard-Forward
202699,Tobias Harris,USA,6' 8'',226.0,Tennessee,2011,19,Forward
1643253,Toby Okani,USA,6' 8'',210.0,West Virginia,Undrafted,Undrafted,Forward
1642449,Tolu Smith,USA,6' 11'',,Mississippi State,Undrafted,Undrafted,Forward
1628396,Tony Bradley,USA,6' 10'',248.0,North Carolina,2017,28,Center-Forward
1641787,Tosan Evbuomwan,United Kingdom,6' 8'',217.0,Princeton,Undrafted,Undrafted,Forward
1641739,Toumani Camara,Belgium,6' 7'',230.0,Dayton,2023,52,Forward
1629027,Trae Young,USA,6' 2'',164.0,Oklahoma,2018,5,Guard
1631218,Trayce Jackson-Davis,USA,6' 9'',245.0,Indiana,2023,57,Forward
1642848,Tre Johnson,USA,6' 5'',190.0,Texas,2025,6,Guard
1630200,Tre Jones,USA,6' 1'',190.0,Duke,2020,41,Guard
1630544,Tre Mann,USA,6' 4'',178.0,Florida,2021,18,Guard
1630570,Trendon Watford,USA,6' 8'',245.0,Louisiana State,Undrafted,Undrafted,Guard-Forward
1642280,Trentyn Flowers,USA,6' 9'',185.0,,Undrafted,Undrafted,Forward
1630286,Trevon Scott,USA,6' 8'',225.0,Cincinnati,Undrafted,Undrafted,Forward
